product_name,start_range,end_range
Porcupine Quill Box c.1940,2720,7160
Boxing Gloves Vintage Leather Empire Period,1920,6670
Russian Niello Silver Box,5000,12070
Period Abstract Expressionist Work Edwardian Era,32160,45250
Historic Regency Silver Sauce Boat c.1950,2090,7210
Vintage Original Ferrari Owners Manual Georgian Period Recently Conserved,2410,5000
Pristine Silhouette Portrait Collection Museum Deaccessioned,9580,21050
Provincial Telegraph Key Brass Antique,3410,10540
Ted Williams Signed Photo,3310,10680
Choice Corbel Carved Wood Victorian Recently Conserved,130,210
Monumental Playmobil First Series Set,3580,10550
Important Indonesian Wayang Puppet Antique,6290,20360
Documented Op Art Optical Illusion Edwardian Era,5790,19080
Period Thorens TD-124 Turntable c.1780,10910,30000
Unique Agra Palace Carpet 18th Century,8590,15890
Antique Cadastral Survey Map Antique,4340,6250
Resin Cast Figure c.1780,18740,53950
Signed Virginia Woolf First Edition,7320,14290
Labradorite Pendant,36400,65750
Published Quezal Art Glass Shade,5990,13740
Documented Betty Lamp Iron Colonial,8770,11580
Period Vintage Neon Beer Sign Regency Period,12900,23940
Delicate Military Campaign Map Napoleonic c.1970,610,1040
Exceptional Christofle Silver Tureen c.1780,6740,20000
Remarkable Cast Iron Fire Engine c.1820 From Private Collection,5640,7550
Ornate Lead Garden Cistern Georgian Mid-Century,1790,4750
Outstanding Boer War Medal Group,820,2820
Miniature Muhammad Ali Fight Poster c.1970,16960,50000
Psychedelic Rock Concert Poster 18th Century,790,2370
Published Hublot Big Bang Early 20th Century,23790,62820
Welded Steel Abstract c.1940 With Certificate,6850,23260
Select Martin D-28 Acoustic Guitar,15580,25380
Compass Surveyor's Brass c.1880,3400,9790
Vintage Falconry Hood Leather Antique c.1930,4060,12000
Early Betty Lamp Iron Colonial c.1840,5870,18040
Unique Vintage Gucci Bamboo Bag 19th Century,13970,21720
Oversized Silver Mounted Cut Glass Claret Jug c.1970 Museum Deaccessioned,1400,3910
Outstanding Bakhtiari Garden Design Rug Good Condition,13160,30000
Exquisite Navajo Chief's Blanket Recently Conserved,480,880
Chinese Tang Dynasty Mirror c.1900,23440,32520
Historic Vintage Croquet Set Complete c.1940,2900,8490
Unique Sri Lankan Ivory Casket c.1860,28000,60000
Vintage Pewter Miniature Set Museum Deaccessioned,24320,36930
Continental Skeleton Clock Victorian,6870,12370
Outstanding Tortoiseshell Tea Caddy c.1800,10260,25000
Pristine Celtic Harp Hand Carved Georgian Period,3130,7320
Late Cassandre Normandie Poster c.1910,3680,7540
Carved Stone Garden Bench,5980,8450
Matched Oushak Wool Carpet,9500,27890
Provincial Ted Williams Signed Photo Art Deco Period,18450,50000
Attributed Henri Cartier-Bresson Gelatin Print Empire Period,11320,27230
Monumental Incunabulum Leaf 1480s c.1840 As Found,22580,50000
Saint Louis Crystal Goblet Set Art Deco Period,9620,21210
Provenance Spain Classic Period Collection,24990,44760
Grand Lee Friedlander Street Print Art Deco Period,9410,30000
Restored Renaissance Revival Armoire,9790,23830
Superb Vacuum Tube Radio Cathedral Early 20th Century Good Condition,13640,30000
Pristine Haut-Brion 1989 c.1910,6970,18640
Provincial Tavern Clock Act of Parliament Regency Period Good Condition,6670,14310
Exquisite 1794 Flowing Hair Dollar Good Condition,4540,11180
Opus One Vertical Collection With Provenance,4370,5940
Early Chopard Diamond Earrings c.1800,29810,44180
Outstanding Hitching Post Cast Iron Unrestored,1570,3690
Scarce Art Deco Beaded Flapper Dress c.1800,15660,28110
Superb Coral Bead Necklace Good Condition,22060,55070
Choice Yamaha CFX Concert Grand Piano Early 20th Century,25100,60000
Premier Whittled Walking Cane Edwardian Era,1790,2580
Matched Holland & Holland Double Rifle Estate Fresh,5100,8250
Premier Nikon F Camera Body Federal Period Estate Fresh,12060,30000
Period Boulle Marquetry Bracket Clock c.1970 Recently Conserved,8080,13480
Vintage Jaeger-LeCoultre Reverso With Provenance,870,2000
Authentic Chinese Scholar's Rock,20520,42650
Museum Quality Armillary Sphere Desktop c.1940,6680,15000
Late Emilio Pucci Palazzo Pants Excellent Condition,13100,35000
Colonial Banjo 5-String Prewar Gibson c.1840,13380,21620
Olmec Jade Mask Fragment 19th Century,14440,40000
Pristine Modernist Composition,43180,80920
Star Wars Vintage Figures Set,4110,13760
Period Surveyor's Transit Brass Art Deco Period With Provenance,4790,13500
Wedgwood Jasperware Plaque,13370,40000
Unique Shaker Oval Box Nested Set c.1780,220,400
Superb GI Joe Prototype c.1880 Excellent Condition,690,1860
UN First Issues Collection c.1800,24310,50000
Authentic Napoleonic Era Cavalry Saber Post-War From Private Collection,1030,2810
Signed Miniature Portrait on Ivory c.1940,8040,23240
Distinguished Shaker Oval Box Nested Set c.1860 With Provenance,7420,10280
Monumental Vintage Dashboard Clock Jaeger,2060,3860
Unmatched Silver Mounted Cut Glass Claret Jug c.1800,1160,2110
Exceptional Persian Tabriz Silk Rug,2430,6320
Yves Saint Laurent Le Smoking Jacket Arts & Crafts Era Museum Deaccessioned,15790,28960
Restored Archery Bow Yew Longbow Federal Period Estate Fresh,3620,10460
Museum Quality Schiaparelli Shocking Pink Hat Art Nouveau Period,9360,16140
Art Deco Illustrated Novel Empire Period With Certificate,24320,50000
Premier Reclaimed Church Doors Oak Georgian Period,5500,12470
Colonial British Guiana One Cent Magenta Art Nouveau Period,11830,24620
Signed Longcase Grandfather Clock From Private Collection,2650,7890
Ornate Sterling Silver Cigar Box,650,1950
Copper Patina Sculpture c.1960,10830,29340
Late Terrestrial Library Globe 18th C Modernist Period,2690,3620
Colonial Blanket Chest From Private Collection,7030,23760
Korean Celadon Bowl Mid-Century,20580,40460
Antique Boot Scraper Cast Iron Art Nouveau Period,4180,13980
Bach Stradivarius Trumpet c.1880,16240,23140
Unmatched Rushlight Holder Iron Modernist Period Recently Conserved,1220,4000
Historic Loetz Iridescent Art Glass Vase,430,1120
Robert Mapplethorpe Flower Print,7800,15140
Estate Bernard Leach Charger Modernist Period Museum Deaccessioned,18040,35480
Notable Egg Tempera Still Life Early 20th Century,69980,150000
Matched Joe DiMaggio Bat Game Used c.1970,2630,4920
Signed Lanvin Art Deco Evening Bag c.1910,14290,35000
Olympic Games Poster Collection Modernist Period,2970,6590
Remarkable Cricket Bat Signed Vintage,3140,4250
Late Girard-Perregaux Laureato Empire Period,45630,120000
Late Stone Abstract Form,36430,80000
Vintage Yamazaki 18 Year Japanese Whisky,7060,15590
Restored Finial Cast Iron Roof c.1860,2920,8250
Gilded Rococo Console Table c.1910 Museum Deaccessioned,10850,22790
Oversized India Scinde Dawk As Found,1650,4400
Schuco Micro Racer Late Victorian,980,1470
Monumental Realist Portrait c.1950,68700,133510
Tachisme Drip Painting Good Condition,68140,137670
Jackie Robinson Dodgers Cap c.1800,14750,26920
Signed Macallan 25 Year Single Malt c.1920 Estate Fresh,4650,10090
Exceptional Rookwood Art Pottery Vase Regency Period,10400,23520
Social Realist Mural Study Recently Conserved,52350,147890
Monumental Ship's Bell Clock Chelsea With Provenance,5410,16910
Superb Soapstone Animal Carving c.1780,4760,12350
Ornate Louis XVI Commode c.1960,830,2740
Onyx Decorative Figure Unrestored,2840,5950
Selmer Mark VI Tenor Saxophone,28950,60000
Early Partner's Desk Leather Top Post-War Unrestored,2230,6320
Outstanding France Ceres Issue c.1940 Recently Conserved,5930,7950
Unmatched Emilio Pucci Palazzo Pants Art Nouveau Period With Certificate,3380,8080
Late Whirligig Carved Sailor,4500,9250
Fine Ship's Bell Clock Chelsea,1240,2850
Signed GI Joe Prototype Art Deco Period,4030,5750
Certified Decoy Shorebird Carved 19th Century Museum Deaccessioned,2140,4740
Museum Quality Civil War Battlefield Map Art Nouveau Period,690,1710
Restored Andreas Gursky Rhine II Print c.1860,10780,18210
Madame Gres Draped Gown c.1840 Estate Fresh,14790,35000
Hofner 500/1 Bass Guitar 18th Century,4100,8710
Certified Hofner 500/1 Bass Guitar Modernist Period Unrestored,8340,17750
Outstanding Alabaster Torso Modernist Period,17310,40130
Unmatched Chateau Margaux 1990 As Found,8910,25000
Restored Equestrian Saddle Vintage English c.1910,2630,8570
Civil War Letters Collection 19th Century,17660,46830
Signed Playmobil First Series Set c.1880 Excellent Condition,5890,15000
Monumental Toulouse-Lautrec Moulin Rouge Poster Recently Conserved,760,1430
Attributed Georgian Silver Tea Set,6700,20000
Macallan 25 Year Single Malt c.1940 With Provenance,6870,23880
Delicate Telegraph Key Brass Antique c.1920,10730,26550
Oversized Inuit Soapstone Carving Late Victorian,9950,13180
Important Joel Meyerowitz Cape Light Print Modernist Period,5340,8700
Delicate Alabaster Torso,3890,8350
Newcomb College Vase,6380,13880
Historic Walker Evans FSA Print c.1940,9190,17870
William & Mary Gatelegged Table,2730,6190
Important Matchbox Lesney Collection,5970,15000
Magnificent Tachisme Drip Painting Early 20th Century,46860,150000
Period Art Deco Silver Cocktail Shaker c.1940 With Certificate,9580,17030
Dutch Marquetry Cabinet Museum Deaccessioned,3900,6420
Magnificent Taxidermy Pheasant Display c.1970,5640,12000
Pristine Tiger Woods Tournament Putter,10700,22670
Remarkable Thermometer Clinical Antique,4360,14740
Antique Japanese Samurai Sword Katana,6840,12500
Colonial Egg Tempera Still Life c.1800,58850,150000
Art Deco Wristwatch,56080,120000
Select Art Deco Mantel Clock Arts & Crafts Era,820,1880
Pristine 1913 Liberty Head Nickel,18650,42420
Art Deco Diamond Ring c.1780,26590,75000
Oversized Maxfield Parrish Print Framed c.1960,1700,3750
Art Deco Figurative Painting Recently Conserved,19650,62990
Railroad Map United States 1870 Early 20th Century,2900,6340
Berenice Abbott Manhattan Print c.1900,6330,16460
Documented Pembroke Drop-Leaf Table Late Victorian With Provenance,10800,16120
Exhibited Ship's Bell Clock Chelsea Belle Epoque Excellent Condition,2920,4910
Premier Surrealist Dreamscape Good Condition,50740,89960
Published Bakelite Telephone Rotary Mid-Century,7010,18040
Butter Mold Carved Eagle Post-War,2180,7360
Apothecary Scale Marble Base 18th Century Excellent Condition,6280,14730
Chateau Margaux 1990 c.1860,3710,12660
Museum Quality Falklands War Memorabilia Group c.1900,2190,6680
Exquisite Tavern Sign Iron Bracket,4240,12230
Exquisite Confederate Currency Note c.1940 With Provenance,33660,100000
Scarce Hamilton Khaki Field c.1920 With Provenance,53660,120000
Estate Handel Reverse Painted Lamp Empire Period,1880,3890
Superb Medieval English Groat 19th Century,28330,49660
Original Cast Iron Garden Urn Pair 19th Century,2750,5300
Calculating Machine Brunsviga,3750,6810
Premier Mercury Dime Full Bands c.1940,13670,26920
Miniature Jackie Robinson Dodgers Cap c.1800,13230,21380
Calculating Machine Brunsviga From Private Collection,2990,4860
Delicate Rolex Submariner,34030,117770
Estate Meccano Construction Set Vintage As Found,4750,10890
Certified UN First Issues Collection c.1880,11350,21950
1990 Screaming Eagle Cabernet c.1880,2590,4980
Premier 1985 Sassicaia c.1930,690,1730
Select Persian Miniature Manuscript Page From Private Collection,17060,23380
Provincial Isfahan Silk Rug From Private Collection,12430,30000
Grand Sextant Ebony Frame c.1900,6830,9090
Northwest Coast Totem Pole Model c.1950 Recently Conserved,9840,28450
Attributed Webb Cameo Glass Vase c.1860 Unrestored,12130,22380
Tin Robot Battery Operated c.1940 From Private Collection,6630,15000
Miniature Stephen Shore Uncommon Places c.1920 Recently Conserved,10050,28830
Persian Miniature Manuscript Page,12790,26090
Marklin Tin Train Set Early 20th Century From Private Collection,1090,2990
Estate Leica M3 Camera Body 19th Century,1020,1880
Kosta Boda Art Glass Bowl Edwardian Era,6800,20370
Derek Jeter Game Bat c.1910,18840,44540
Emilio Pucci Palazzo Pants,3850,13220
Ornate Student Lamp Brass Double Post-War With Certificate,2020,3580
Superb Ortelius Theatrum Orbis Page With Certificate,700,1700
Silver Gilt Wine Cooler Federal Period,2100,3580
Magnificent Aquamarine Tiara c.1820 Excellent Condition,26090,46310
Early Cassandre Normandie Poster c.1880 As Found,5580,8800
Antique Brass Door Hardware Set c.1920,4190,7320
Estate Zither Concert Model Antique c.1950,15090,29770
Remarkable Cappiello Campari Poster Edwardian Era,1200,2750
Omega Speedmaster Moonwatch 18th Century Museum Deaccessioned,56340,120000
Colonial Antique Fireplace Mantel Marble,3640,9640
Continental Steering Wheel Nardi Wood,1030,2700
Outstanding British Guiana One Cent Magenta Unrestored,9510,28140
Inuit Soapstone Carving,15230,40000
Colonial Sega Genesis Console Boxed Modernist Period,250,590
Rare Chinese Art Deco Carpet,10000,15980
Early Haut-Brion 1989 Post-War,10020,25000
Remarkable Treasure Map Replica Framed Federal Period Good Condition,5840,10640
Cricket Bat Signed Vintage 19th Century With Certificate,4570,11880
Historic Bernard Leach Charger Early 20th Century,6260,13850
Documented Pre-Prohibition Bourbon Bottle c.1860 With Provenance,10700,20110
Provincial Yves Saint Laurent Le Smoking Jacket Art Deco Period,5120,6880
Fine Walt Whitman Leaves of Grass 1st Ed c.1970,16160,40400
Exquisite Tortoiseshell Tea Caddy,3600,11720
Pristine Ship Figurehead Carved,1320,4570
Matched Ashanti Gold Weight Bronze Post-War,9900,33200
Unmatched Concrete Brutalist Form As Found,1240,2080
Museum Quality Ormolu Mounted Marble Urn Late Victorian From Private Collection,6750,14440
Outstanding Lee Friedlander Street Print,6480,11530
Kerosene Lamp Cranberry Glass,4750,6980
KPM Berlin Plaque Museum Deaccessioned,7500,25380
Venetian Lattimo Glass Bowl From Private Collection,2180,5040
Rare Concrete Brutalist Form,29480,52150
Period Louis XV Bergere Chair,9680,19980
Vintage Ferragamo Pumps c.1910 Good Condition,8330,27780
Unique Edwardian Silver Card Case Early 20th Century From Private Collection,2100,4890
Fine Irish Silver Sugar Bowl,3430,8260
Crimean War Medal,5990,9100
Notable Stone Abstract Form Estate Fresh,8790,30210
Exhibited Roseville Sunflower Vase Unrestored,14710,40000
Outstanding Stumpwork Embroidery Panel Art Nouveau Period,4990,14870
Galle Cameo Glass Vase,10330,25000
Meissen Porcelain Figurine Estate Fresh,14500,40000
Outstanding Napoleonic Era Cavalry Saber c.1950,1880,2840
Grand Victorian Silver Candelabra 18th Century,4220,5890
Nintendo Game Boy Sealed Recently Conserved,1020,2760
Balloon Clock Edwardian c.1950,3950,10900
Early Circus Poster Barnum Bailey,2930,5300
Antique Turkmen Tekke Carpet Art Nouveau Period From Private Collection,9400,27790
Late Victorian Botanical Atlas Belle Epoque As Found,20140,48020
Partner's Desk Leather Top c.1860,7740,18480
Star Chart Celestial 1800s Mid-Century As Found,5710,12000
Pairpoint Puffy Boudoir Lamp c.1930,4820,16840
Provenance Trade Sign Optician Spectacles c.1840 With Provenance,1560,2670
Premier Theremin RCA Original Empire Period,13720,41650
Grand Weather Vane Rooster Copper c.1880 Unrestored,1170,2430
Premier Butler's Tray Table Belle Epoque,1270,3900
Handel Reverse Painted Lamp,2450,4560
Fine Commodore 64 Complete System,2040,6570
Period Yoruba Ibeji Twin Figure Art Deco Period From Private Collection,12810,40000
Notable Webb Cameo Glass Vase c.1900,1160,3790
Colonial Bobby Orr Signed Stick c.1950,7980,17880
Miniature Samurai Armor Partial Set,7200,14830
Bottega Veneta Clutch c.1880 With Certificate,8360,20680
Steuben Crystal Eagle Art Nouveau Period,7930,21630
Aboriginal Dot Painting Canvas 18th Century,15200,22130
Choice Sebastiao Salgado Workers Print c.1930,12940,30000
Select Found Object Assemblage,8990,17520
Select Chinese Jade Bi Disc Federal Period,9590,26050
Miniature Victorian Military Medals Group Art Nouveau Period,7620,17640
Michael Jordan Game Jersey c.1910 Museum Deaccessioned,9940,21800
Superb Theremin RCA Original Excellent Condition,28510,60000
WWII Aviator Leather Jacket From Private Collection,7850,20000
Superb Surveyor's Transit Brass,760,2630
Cigar Store Indian Figure Regency Period Recently Conserved,7770,10440
Unmatched Tiffany Sterling Flatware Set,6340,15580
Native American Kachina Doll Good Condition,1150,2160
Estate Astrolabe Reproduction c.1880 Estate Fresh,2880,6210
Provincial Indian Mughal Miniature Painting c.1860,20470,60000
Continental Ming Dynasty Blue White Vase Good Condition,15780,31320
Colonial Level Spirit Brass Surveyor Arts & Crafts Era Unrestored,4150,13730
Lucie Rie Stoneware Bowl,9200,19060
Unique Polo Mallet Collection Good Condition,4730,8480
Oversized Star Chart Celestial 1800s c.1950 Museum Deaccessioned,5890,12000
Estate Zither Concert Model Antique,8140,15260
Purdey Side by Side Shotgun 19th Century Museum Deaccessioned,3710,12000
Soumak Flatweave Bag c.1910 Excellent Condition,12080,17620
Longines Heritage Diver Excellent Condition,12330,22270
Published Ortelius Theatrum Orbis Page c.1780 With Provenance,4090,8530
Daum Nancy Pate de Verre Arts & Crafts Era,6800,11210
Fine Aviation Chart WWII Pacific Art Deco Period,1020,1530
Stainless Steel Modern Piece,7480,12250
Choice Hammond B3 Organ Georgian Period,29540,44450
Oversized Alexandrite Pendant c.1970,16460,26130
Scarce Hunting Horn Silver Mounted 18th Century With Certificate,600,1900
Signed Kosta Boda Art Glass Bowl Art Nouveau Period,280,540
Oversized Jacobean Court Cupboard c.1780,3580,6520
WWII Propaganda Poster c.1900,7310,20000
Pie Safe Punched Tin,980,1480
Unmatched Beadwork Purse Victorian Excellent Condition,6530,15700
Authentic Sextant Ebony Frame c.1910 Excellent Condition,3930,8550
Zuni Fetish Carving Collection,11560,38680
Hall Tree Coat Stand,9090,12530
Important Antique Decoy Duck Carved c.1780 Museum Deaccessioned,1500,5210
Original Penfolds Grange 1971 c.1800,11290,19200
Choice Vintage Port Taylor's 1963 c.1780 Good Condition,2350,4350
Scarce Butter Mold Carved Eagle Museum Deaccessioned,3250,8550
Scarce Grain Painted Blanket Chest,5070,9530
Maserati Trident Badge Collection,1280,3250
Rare Vintage Cartier Watch Federal Period,24190,64520
Steinway Model B Grand Piano,7050,14670
Unmatched Bobby Orr Signed Stick c.1820,2900,9220
Attributed Staffordshire Spaniel Pair,2380,4960
Documented Vernis Martin Vitrine Display Case Federal Period,1670,2470
Period Nintendo Entertainment System Boxed 19th Century Recently Conserved,6390,14820
KPM Berlin Plaque c.1800,16180,31540
Waterford Crystal Decanter Set,12050,19140
Select Ming Dynasty Blue White Vase c.1860,8750,17900
Fine Backgammon Set Leather Vintage c.1920,360,1240
Restored Modernist Composition,16840,50120
Fine Yamaha CFX Concert Grand Piano Good Condition,18120,55110
Antique Tang Dynasty Horse Figure c.1940,4270,13250
Remarkable Indian Head Gold Eagle Post-War,17280,45750
Certified Inverted Jenny Stamp,24000,50000
Original Jaguar Leaper Hood Ornament Modernist Period With Certificate,2170,3490
Signed Dickens Volume Mid-Century Museum Deaccessioned,4190,7640
Art Deco Chrome Floor Lamp Late Victorian,2530,6550
Japanese Tea Ceremony Kettle Late Victorian Excellent Condition,3080,7070
Historic Boulle Marquetry Bracket Clock,2220,3680
Premier Rolex Submariner 18th Century As Found,5110,15080
Superb 1794 Flowing Hair Dollar Modernist Period Excellent Condition,24100,63300
Provenance Copper Patina Sculpture,21820,67690
Decoy Shorebird Carved,7220,18000
Attributed Art Nouveau Bronze Table Lamp c.1820 Estate Fresh,1140,3280
Notable Sextant Ebony Frame,660,2020
Outstanding Art Exhibition Poster Picasso 18th Century Good Condition,3110,7540
Tiffany Wisteria Table Lamp,2220,6710
Bing Clockwork Boat,260,900
Student Lamp Brass Double Estate Fresh,7310,16290
Estate Ferrari Prancing Horse Badge Collection,780,2270
Original Boucheron Gold Cuff 19th Century,24180,74240
Pristine Japanese Ukiyo-e Woodblock Print,100,170
Period Georg Jensen Silver Pitcher Early 20th Century Excellent Condition,7760,20000
Kosta Boda Art Glass Bowl 18th Century With Provenance,2580,7580
Magnificent Skeleton Mechanical Watch With Provenance,54900,120000
Estate Platinum Band,15880,51330
Certified Korean War Dog Tags c.1940,7370,17280
Reclaimed Barn Door c.1920,6200,15000
Satsuma Vase Meiji Period c.1970,16640,39490
Antique Whale Oil Lamp Antique,2270,6130
Provenance Porcupine Quill Box,9180,19000
Authentic Atari 2600 Console Boxed c.1880,12910,30000
Magnificent Davenport Writing Desk c.1780,11430,23800
Published Thai Bronze Buddha Seated Empire Period Estate Fresh,1910,3590
Pristine Antique Fireplace Mantel Marble c.1900 Excellent Condition,5140,8360
Exquisite Tiffany Dragonfly Table Lamp Mid-Century,5130,13540
Oversized Seiko Grand Seiko Spring Drive c.1920,8790,18300
James Joyce Ulysses 1st Ed Art Deco Period,23050,50000
Oversized 1913 Liberty Head Nickel c.1820,48490,100000
Remarkable Wurlitzer Electric Piano c.1900 Unrestored,17760,46690
Pristine Indonesian Wayang Puppet Antique c.1900,22360,38170
Outstanding Taper Stick Silver Georgian,6540,18980
Authentic Falconry Hood Leather Antique Recently Conserved,340,910
Remarkable Seated Liberty Half Dollar 18th Century As Found,28150,46900
Signed Cassandre Normandie Poster,2290,6940
Remarkable Geological Survey Map Victorian,3760,8900
Colonial Cast Iron Fire Engine c.1940,4740,13430
Certified Newcomb College Vase 19th Century,12210,40000
Provenance Spain Classic Period Collection Edwardian Era,15940,23080
Superb Stephen Shore Uncommon Places,12560,30000
Early Oris Aquis Date,1700,5780
Notable Panerai Luminor Marina,330,1120
Historic Waterford Crystal Decanter Set Mid-Century,3180,4300
Antique Zuni Fetish Carving Collection 19th Century From Private Collection,6160,18710
Authentic Magnifying Glass Sterling Handle 18th Century,5820,11630
Confederate States Collection Arts & Crafts Era,4320,11350
Magnificent Pairpoint Puffy Boudoir Lamp Art Deco Period Recently Conserved,7380,19830
Miniature Sailor Valentine Shell Art c.1880,2740,9310
Ornate Tourmaline Bangle c.1840 As Found,32170,56710
Original Psychedelic Rock Concert Poster Museum Deaccessioned,2010,6780
Superb Panerai Luminor Marina,56230,120000
Documented Noh Theatre Mask Georgian Period From Private Collection,28400,60000
Miniature Christofle Silver Tureen Post-War With Provenance,4500,14840
Calculating Machine Brunsviga c.1950 As Found,1010,2200
Estate Pop Art Screen Print Arts & Crafts Era,17810,40710
Provincial Trade Sign Optician Spectacles 18th Century From Private Collection,7060,16760
Hard Edge Abstraction With Provenance,23020,40690
Early Murano Glass Chandelier c.1910,1500,3760
Remarkable Annie Leibovitz Portrait,8060,15640
Baluch Prayer Rug Art Deco Period,5700,9580
Historic Egg Tempera Still Life,51080,67610
Restored Hamilton Khaki Field,12370,21130
Grand Calculating Machine Brunsviga Late Victorian,3380,10660
African Tribal Mask Dogon Estate Fresh,10220,27660
IBM Model M Keyboard Empire Period Recently Conserved,9360,24820
Unique Marklin Tin Train Set c.1800,3190,8140
Argand Lamp Silver Plated,1530,4060
Exhibited Bidjar Iron Rug 19th Century Excellent Condition,14660,30000
Remarkable Neo-Expressionist Canvas Regency Period,57550,150000
Cape of Good Hope Triangular,1670,5050
Murano Glass Chandelier,10340,15660
Provincial WWII Enigma Machine Component Modernist Period,380,1090
Magnificent Atari Jaguar Console Sealed,4940,13570
Lee Friedlander Street Print Georgian Period,13580,30000
Rare Renaissance Revival Armoire Post-War,1340,3560
LEGO Castle Set Vintage,2260,5010
Scarce Proof Silver Eagle Set,31360,85380
Antique Brass Car Horn,540,1460
Premier Fanlight Transom Window Museum Deaccessioned,2530,5660
Enamel Dial Dress Watch Art Deco Period,2180,7000
Pillar Clock Biedermeier,5640,10080
Boxing Gloves Vintage Leather Post-War,5060,12000
Chinoiserie Lacquer Screen c.1970,11820,25000
Attributed Art Deco Beaded Flapper Dress c.1820,5310,11970
Documented Banjo Clock American Federal Modernist Period,7660,18000
Longines Heritage Diver c.1960 Estate Fresh,24560,70570
Period Carved Stone Garden Bench c.1930,1400,3750
Provenance African Beaded Ceremonial Crown,9810,27710
Miniature Vintage Fly Fishing Rod Hardy c.1920,290,620
Provenance Ptolemy Atlas Page c.1940,600,1600
Historic Topaz Chandelier Earrings c.1820 Excellent Condition,36580,63030
Remarkable Lanvin Art Deco Evening Bag,15320,24150
Superb Luminist Harbor View c.1930 Unrestored,42660,69400
Certified Slide Rule Collection c.1900 With Certificate,12320,18440
Ornate Apple I Computer Board c.1860 Recently Conserved,10570,18520
China Red Revenue Stamp,4840,14700
Scarce Sepik River Ancestor Figure Federal Period,7560,13580
WWI Trench Art Vase Late Victorian Excellent Condition,7730,10920
Early Classic Car Brochure Collection From Private Collection,1570,2620
Aneroid Barometer Victorian c.1840 With Certificate,2160,5120
Early Hank Aaron Home Run Ball c.1920,21470,50000
Late Soapstone Animal Carving,9710,27380
Pristine Edwardian Silver Card Case Federal Period Unrestored,4570,9580
Attributed Louis Vuitton Trunk Antique c.1780,1220,2420
Victorian Gas Wall Sconce Pair Belle Epoque,6390,15280
Documented Ziegler Mahal Carpet Estate Fresh,12480,28750
Attributed Victorian Porch Brackets Pair Regency Period,5250,11440
Continental Edwardian Silver Card Case,6260,18700
Vintage Michelin Man Figure c.1910,1470,2240
Remarkable Woodstock Festival Poster c.1960,1140,2560
Superb Porsche Enamel Dealer Sign c.1900,1270,3170
Restored Sri Lankan Ivory Casket c.1970 As Found,4200,11830
Documented Art Nouveau Display Cabinet c.1910 Estate Fresh,6540,20040
Scarce Polaroid SX-70 Camera,7910,16180
Matched Diego Maradona Signed Shirt Good Condition,16210,24710
Kafka Metamorphosis 1st Ed c.1780 Estate Fresh,22380,50000
Published Weather Vane Rooster Copper,3310,4940
Select Sardonyx Intaglio Ring c.1910,32550,75000
Selmer Mark VI Tenor Saxophone Early 20th Century,2970,10030
Morganite Engagement Ring c.1900,32110,61590
Stone Lion Garden Statue Pair c.1940 Good Condition,3530,4620
Notable Opus One Vertical Collection c.1800,2210,6550
Monumental Cappiello Campari Poster,940,2750
Historic Hard Edge Abstraction c.1880,38460,63350
Exquisite Majolica Garden Seat With Provenance,3040,9230
Unmatched Toulouse-Lautrec Moulin Rouge Poster,5920,10010
Digital LED Watch 1970s,38140,99470
Grand 1804 Draped Bust Dollar c.1910,12270,28400
Lucie Rie Stoneware Bowl Empire Period As Found,9500,23790
Grand Globe Celestial Miniature,4420,12900
Fine Barograph Recording Aneroid Excellent Condition,4910,15000
Exquisite Realist Portrait Empire Period,73610,150000
Attributed Social Realist Mural Study c.1930 From Private Collection,20320,43930
Authentic Whitefriars Tangerine Vase,8770,17560
Antique Zeppelin Mail Cover Modernist Period,4520,5960
Authentic Orrery Planetary Model Georgian Period,4520,8760
Select Post-Impressionist Cityscape,59000,134270
Film Noir Movie Poster Original c.1970,530,1590
Signed Berlin Woolwork Needlepoint Early 20th Century,1700,4680
Rare Marine Chronometer Boxed With Provenance,7620,15060
Railroad Pocket Watch,5450,17290
Superb Lanvin Art Deco Evening Bag Estate Fresh,10020,33950
Notable 1952 Topps Mickey Mantle Card c.1880 Good Condition,18150,50000
Published Boxing Gloves Vintage Leather Modernist Period Unrestored,3370,7920
Distinguished Panoramic City View Lithograph c.1780,3630,5560
Estate Indian Mughal Miniature Painting c.1920 Unrestored,19240,60000
Premier Carriage Clock Brass Repeating c.1910,5570,13820
Pristine Mdina Glass Paperweight Regency Period With Provenance,7810,21650
Select Hank Aaron Home Run Ball,2120,3280
Enamel Locket Gold Chain,31100,75000
Grand Treasure Map Replica Framed c.1840 Museum Deaccessioned,4360,11890
Majolica Garden Seat Art Nouveau Period,10170,15110
Attributed Tiffany Wisteria Table Lamp Empire Period,12430,25000
Leather Gun Case Victorian c.1820,5090,10770
Provincial Geological Survey Map Victorian,840,1100
Oversized Indian Head Gold Eagle 19th Century,31220,44110
Exquisite Sevres Porcelain Urn Post-War,9480,12600
Published Peace Dollar Uncirculated 18th Century,48540,100000
Attributed Carved Wood Totem Empire Period,19400,27120
Outstanding Tiffany Favrile Glass Vase Arts & Crafts Era,7080,11100
Perfin Stamp Collection,14820,35700
Rare Ferrari Prancing Horse Badge Collection 18th Century Museum Deaccessioned,530,950
Exquisite Silk Route Trade Map Reproduction Regency Period,5840,12000
Vintage Vintage Neon Beer Sign c.1920,13290,30000
Betty Lamp Iron Colonial c.1940 Museum Deaccessioned,9130,14960
